centre,n_timesteps,n_valid_1h_deltas,mean_utilisation,std_utilisation,peak_utilisation,peak_to_average_ratio,coefficient_of_variation,mean_abs_delta_1h,jump_threshold_p90_abs_delta_1h,jump_count_1h,jump_share_1h,sufficient_coverage,variability_bucket
Data Centre #44,296,256,0.5139002280619526,0.29912665823548706,0.9615496932036326,1.8710824410992755,0.5820714642676248,0.08510351239232758,0.30525766600480553,26,0.1015625,False,insufficient coverage
Data Centre #41,6408,6312,0.19405285805677142,0.09827344298401135,0.9666534539326904,4.981392511363526,0.5064261560902176,0.005193068558301767,0.0039000000000000644,628,0.09949302915082382,True,high
Data Centre #28,16630,16482,0.15053746050577912,0.06935702642865302,0.3567514431957105,2.369851610337314,0.4607293506588043,0.0014050265356829635,0.002984928683983687,1611,0.09774299235529668,True,high
Data Centre #58,17431,17425,0.2119543635529787,0.07925137852195083,0.4932653014315642,2.327224092785761,0.3739077469010997,0.014412530204191577,0.04000000000000001,1681,0.09647058823529411,True,high
Data Centre #29,17501,17482,0.1728143862978576,0.06291455505950251,0.4986626760089874,2.885539142265087,0.36405855095341955,0.005920223541897882,0.007888918226137395,1748,0.09998855966136598,True,high
Data Centre #33,68,48,0.15298743691298916,0.04914368901826114,0.3222853121071452,2.106612925938771,0.3212269583038467,0.01572630697436109,0.03918777510737593,5,0.10416666666666667,False,insufficient coverage
Data Centre #42,246,192,0.16988658009071117,0.05115851279606482,0.2696479603112177,1.5872234296978536,0.3011333371285046,0.015123663865500037,0.03906376725534445,20,0.10416666666666667,False,insufficient coverage
Data Centre #43,254,199,0.1727746535320821,0.050522048983420456,0.2743011347041787,1.5876236999846995,0.2924158604898556,0.0130827175494987,0.03776740749156536,20,0.10050251256281408,False,insufficient coverage
Data Centre #30,17506,17491,0.16791104430258388,0.046254016354054434,0.4664321232028895,2.7778525536554706,0.2754673854014179,0.011445501985288235,0.023769882552536883,1749,0.09999428277399805,True,high
Data Centre #67,17520,17518,1.1548420168626643,0.3092171120181251,1.5229736307631856,1.3187722723326407,0.26775706763611606,0.005578429700174587,0.012792722098963729,1739,0.09926932298207558,True,high
Data Centre #37,17520,17518,0.4395092225079724,0.10817460851776561,1.0204221753764469,2.321730974275374,0.24612591267252282,0.0035420658062500607,0.005879999999999885,1743,0.09949765955017696,True,high
Data Centre #70,11334,11239,0.1732885786804041,0.04101801354125202,0.2530050592379528,1.4600215499751412,0.2367035026405375,0.004199982181599632,0.00883926889920854,1119,0.09956401815108105,True,high
Data Centre #18,17519,17516,0.2289104964226723,0.045209155238966424,0.3739113606524947,1.6334391235694374,0.19749708268287477,0.002953883405818838,0.005149999999999988,1751,0.09996574560401918,True,high
Data Centre #51,17016,16964,0.5166300107408988,0.07812873619259965,0.6762498669797081,1.3089635772608306,0.15122763790000368,0.005772581503086389,0.012072898233432161,1703,0.10038905918415468,True,high
Data Centre #19,17519,17516,0.2710555307358645,0.04014710044071482,0.3664529514480679,1.3519478848235171,0.14811393197446673,0.0028818707113268463,0.006249999999999978,1740,0.09933774834437085,True,high
Data Centre #12,17508,17500,0.38298099258948126,0.0478415690561234,0.5445057153051748,1.4217564992548664,0.12491891237904057,0.0069507655113814695,0.015689567324001848,1750,0.1,True,high
Data Centre #49,13020,12648,0.12154370242231084,0.013498190659963022,0.180862703593141,1.4880466859954846,0.11105627351273827,0.002753710238251721,0.0055950066158235445,1265,0.1000158127767236,True,high
Data Centre #64,17472,17468,0.3617647805936687,0.03937802768026326,0.5233165966745462,1.446565903446337,0.10884981013254671,0.004910572521830149,0.009096775269277857,1744,0.09983970689260362,True,high
Data Centre #50,16606,16509,0.12411261089166348,0.012903924052757938,0.1551129673917085,1.2497760403018585,0.10396948352026555,0.0017062266947809098,0.0037515601610701027,1651,0.10000605730207765,True,high
Data Centre #57,17520,17518,0.2837787083507429,0.029236599877116427,0.4171889394233385,1.4701206508689302,0.1030260516972287,0.006110048660352215,0.01434109665931828,1752,0.10001141682840507,True,high
Data Centre #38,17425,17341,0.23891750397951964,0.0216703520490402,0.3546279808475355,1.4843114252438143,0.09070223691478801,0.004241594117079811,0.008065435104349117,1734,0.09999423331987775,True,medium
Data Centre #17,17516,17511,0.3763761713477626,0.03363638852472263,0.644369064473148,1.7120346970046794,0.08936907032205131,0.002957167855266273,0.00531881542484758,1751,0.09999428930386614,True,medium
Data Centre #25,16637,16631,0.39913550753415944,0.03363654567048436,0.4759275791779903,1.1923959913219666,0.08427349868792523,0.005362447760301253,0.012273107473420425,1663,0.09999398713246348,True,medium
Data Centre #4,17520,17518,0.277229323984215,0.023116210468148414,0.3464283533751564,1.2496093428950592,0.08338299187089102,0.003136252444783525,0.005868440534847974,1752,0.10001141682840507,True,medium
